pathway	UCH_02_Basal	UCH_02_Cronico	UCH_02_PosI	UCH_03_Basal	UCH_03_Cronico	UCH_03_PosI	UCH_04_Basal	UCH_04_Cronico	UCH_04_PosI	UCH_05_Basal	UCH_05_Cronico	UCH_05_PosI	UCH_07_Basal	UCH_07_Cronico	UCH_07_PosI	UCH_08_Basal	UCH_08_Cronico	UCH_08_PosI	UCH_09_Basal	UCH_09_Cronico	UCH_09_PosI	UCH_10_Basal	UCH_10_Cronico	UCH_10_PosI	UCH_11_Basal	UCH_11_Cronico	UCH_11_PosI	UCH_12_Basal	UCH_12_Cronico	UCH_12_PosI	UCH_13_Basal	UCH_13_Cronico	UCH_13_PosI	UCH_15_Basal	UCH_15_Cronico	UCH_15_PosI	UCH_16_Basal	UCH_16_Cronico	UCH_16_PosI	UCH_17_Basal	UCH_17_Cronico	UCH_17_PosI	UCH_18_Basal	UCH_18_Cronico	UCH_18_PosI	UCH_19_Basal	UCH_19_Cronico	UCH_19_PosI	UCH_20_Basal	UCH_20_Cronico	UCH_20_PosI	UCH_21_Basal	UCH_21_Cronico	UCH_21_PosI
PWY-5971	78.1741	0	39.0645	38.7371	45.7892	217.961	2914.2907	5490.4392	2626.1643	462.4162	3563.3504	7174.5082	2970.2885	3159.1139	3827.0958	1020.0785	973.3315	363.9951	2391.7934	194.5858	2313.4527	1516.546	3267.5311	1098.0636	3432.5838	3239.7613	6117.8531	514.8823	2440.8033	1058.2431	1798.3167	3872.6396	4000.4558	155.034	339.2241	569.6175	2492.6871	688.939	1757.7741	2548.7441	3130.4598	2307.1876	2285.8862	1725.9722	1200.2429	1824.5942	123.7957	888.7775	1213.4878	1940.9565	2872.2611	339.5018	599.234	1461.9973
PWY-5973	5142.5336	5261.3213	6966.6982	8814.9668	9641.4099	9292.4853	6419.2828	7963.9459	10089.5342	10416.9257	7151.0432	9434.4693	8658.4765	8159.9921	8623.4168	6242.6036	7367.5824	6495.3169	8987.0337	6885.8977	10127.4165	6787.1362	7524.9586	2874.5793	7216.6896	6733.7008	8835.8138	7040.5394	7421.9799	6028.6016	8318.5641	7885.5506	7786.4268	4547.9414	3320.8272	6477.8861	4336.1551	3694.1968	4649.5432	7224.0148	7788.0605	7350.5114	6762.927	7856.004	7175.4536	8936.9357	2603.1718	6328.1004	4298.9618	6215.59	6700.2625	4197.911	6730.3421	6594.8384
PWY-5989	2709.7955	3494.1021	1132.5752	790.0063	342.4656	248.7674	3785.5559	7035.0108	2753.1816	12407.1275	3191.2614	9609.8421	3441.6342	5366.667	4897.8428	2804.0249	2315.9365	3221.1241	7097.6142	6730.6752	8323.0483	3325.8505	3919.9778	2853.8592	3346.3971	3131.1556	7491.4844	400.034	2314.8679	948.8811	4677.111	6924.7572	5503.9653	280.2789	471.0527	597.0741	2992.5093	3573.8389	3620.0292	2357.769	2640.1067	2023.0342	1734.6981	1250.0225	928.8734	5894.8756	2387.0383	5926.4077	4025.6987	3568.7644	2900.7691	326.349	508.8309	2117.1547
PWY-6121	4893.0746	4814.6113	6840.7278	8320.2493	8895.3449	8563.6669	5951.9537	6680.3783	8503.8516	8823.9122	6437.9852	8111.1455	7242.7359	7259.6364	7510.8509	4974.7507	6196.4313	5392.6797	7502.161	5958.3931	7939.4347	5979.9702	6580.0113	2359.2711	6250.1093	6017.9559	7485.2009	6416.8779	6612.9165	5618.4477	7536.304	6936.3279	6911.4589	3966.6773	2981.2322	6342.4349	3824.6368	3257.3249	4089.2971	6319.7001	6637.8046	6297.7379	6146.6649	6720.3422	6270.5846	8035.2528	2363.3977	5566.5367	3521.0829	5254.0002	5447.8251	3813.5449	6343.7182	6226.0935
PWY-6122	4946.635	4888.2129	6893.3244	8394.7272	9002.6558	8667.431	5707.9217	6244.2398	8443.9838	8194.0855	6292.505	7657.4131	7153.9122	7062.7667	7335.7167	4881.5223	6166.919	5255.7688	7132.774	5573.0017	7554.5829	5744.434	6432.3235	2216.3842	6137.0949	5797.7816	7127.4814	6468.6931	6519.1074	5642.2587	7347.5512	6607.1889	6692.8492	4008.0996	3001.4723	6496.1437	3864.412	3297.4181	4098.2994	6229.9006	6569.5209	6235.0958	6123.6647	6752.038	6321.4618	7830.7741	2206.1467	5254.3104	3564.5028	5250.7006	5467.477	3868.994	6468.8242	6349.9794
PWY-6123	4815.0764	4800.9294	6497.8957	7935.581	8651.3678	8157.04	5583.4076	6255.7787	7982.881	8471.5457	6122.9601	7781.2773	6756.4339	6824.5804	7089.2051	4563.2486	5885.4212	5122.0169	7106.1965	5578.386	7517.272	5665.042	6207.5822	2250.2853	5875.2649	5690.1191	7140.2109	6054.4806	6241.2444	5277.7073	7106.5216	6594.9646	6515.8699	3738.9748	2775.8753	5694.07	3829.7392	3309.8809	4076.0407	5982.8348	6280.3201	5899.0235	5804.9342	6342.5266	5923.9303	7652.9401	2217.0936	5286.4391	3558.7699	5019.1649	5181.2443	3784.4707	6483.9831	6353.2214
PWY-6125	574.3568	520.3899	1149.5848	1238.6226	660.3648	972.3391	3068.6608	5268.1887	2178.7097	7955.2393	3083.5342	6410.0148	3670.3631	4789.93	3702.2619	2156.9707	1824.4881	2494.3326	4662.3558	4333.8628	5322.0077	2615.0426	3028.1431	1941.2778	2732.9944	3618.3126	5208.4566	679.5782	2634.7996	1276.5513	3971.1049	4755.9184	4357.5976	794.6297	880.3496	621.5329	975.0862	796.0617	1425.455	2375.7044	2430.0029	2713.652	2313.2468	1844.2385	1257.5163	4085.2352	1576.3504	3956.4654	493.3547	1433.9559	1180.3918	261.8073	550.0704	360.3917
PWY-6126	4608.3619	4645.588	6556.3861	7942.3925	7482.5556	7901.112	5991.6281	6613.1508	7192.5251	9166.0506	6140.402	8583.3421	7801.901	7913.7379	8077.4729	5190.8211	5892.0759	5451.2375	7836.7373	6059.8881	8145.288	6189.7026	7081.9728	2507.4366	6796.0759	6391.4123	8008.2284	6402.7343	7059.6106	5932.2829	8139.8566	7301.4539	7410.0207	4450.0354	3300.7796	6403.6635	4220.065	3464.1549	4287.2546	6976.5345	7171.3002	6901.1523	6858.5213	7474.1083	6995.0185	8646.4252	2390.1838	5785.576	3416.6204	5518.9194	5800.066	4047.9267	7255.4233	7123.3995
PWY-6141	8.1601	1.1666	22.1317	1.1666	0	3.4996	0	0	0	0	0	0	27.9305	33.6836	8.1632	0	0	0	0	0	0	0	1.1666	0	0	0	0	5.832	29.1164	32.6019	0	0	0	5.8293	4.6631	5.8232	1.1663	5.8226	2.3324	10.4885	26.7653	24.4417	12.8161	5.8303	11.6555	0	0	0	0	1.1665	0	1.1665	0	0
PWY-6147	2409.0937	2389.3618	3509.7651	2837.1507	2232.709	3134.0954	4374.1145	5904.0877	3605.7876	7678.6902	3522.6608	6202.4507	3642.8055	4309.3867	4199.0565	2267.8484	2863.162	3016.4055	5193.485	4991.5808	5246.8413	3426.5064	3449.5569	1856.0824	3527.1408	3728.7696	4931.1286	2710.1347	3385.619	2987.5901	5017.5514	5259.9313	4685.9429	1323.9509	1277.5494	726.292	2058.3545	2225.2425	2419.7889	2820.5471	2798.4738	2661.8593	2962.5737	2710.2019	2571.3826	5422.5171	2001.1867	4379.7641	2142.7037	2972.8113	2501.9611	1048.018	1686.0548	1985.1525
