pathway	UCH_02_Basal	UCH_02_Cronico	UCH_02_PosI	UCH_03_Basal	UCH_03_Cronico	UCH_03_PosI	UCH_04_Basal	UCH_04_Cronico	UCH_04_PosI	UCH_05_Basal	UCH_05_Cronico	UCH_05_PosI	UCH_07_Basal	UCH_07_Cronico	UCH_07_PosI	UCH_08_Basal	UCH_08_Cronico	UCH_08_PosI	UCH_09_Basal	UCH_09_Cronico	UCH_09_PosI	UCH_10_Basal	UCH_10_Cronico	UCH_10_PosI	UCH_11_Basal	UCH_11_Cronico	UCH_11_PosI	UCH_12_Basal	UCH_12_Cronico	UCH_12_PosI	UCH_13_Basal	UCH_13_Cronico	UCH_13_PosI	UCH_15_Basal	UCH_15_Cronico	UCH_15_PosI	UCH_16_Basal	UCH_16_Cronico	UCH_16_PosI	UCH_17_Basal	UCH_17_Cronico	UCH_17_PosI	UCH_18_Basal	UCH_18_Cronico	UCH_18_PosI	UCH_19_Basal	UCH_19_Cronico	UCH_19_PosI	UCH_20_Basal	UCH_20_Cronico	UCH_20_PosI	UCH_21_Basal	UCH_21_Cronico	UCH_21_PosI
PWY-6901	1470.3936	619.5189	2024.5727	1074.5094	317.6774	611.8426	4317.2952	5015.9655	3096.5529	6359.8012	3709.877	6220.8125	3292.351	4153.774	4085.7637	2396.7979	2025.7926	2698.7919	5356.0265	4287.2521	5494.2775	3879.7538	3495.0227	1786.2667	3123.6493	3745.8509	5063.1774	1570.8258	2954.3197	2098.9929	3941.9433	4883.0837	4108.2953	573.3103	680.4641	629.6186	484.4662	527.609	1049.7379	2666.8198	2622.3194	2342.1276	2431.5905	1621.3069	1157.9814	4880.0172	1817.7298	4164.3198	603.6471	2079.6357	1428.372	366.9748	552.1038	847.962
PWY-6969	2225.3613	1708.5005	2080.3224	1588.0496	672.7025	993.3505	5094.1003	6630.3581	2972.1513	8132.5503	4340.4228	6103.4476	4894.1965	5795.0986	4133.9582	3106.9569	2852.1649	3941.196	4137.3298	4395.1603	4361.4267	3939.9742	3712.3306	2251.039	3634.8104	5095.6905	5611.5662	1439.115	3777.9752	2183.8278	5041.4743	5246.3422	5221.0236	753.1119	902.165	1038.0577	1755.6913	1489.0657	2200.8219	3442.1844	2841.8327	3781.8341	3018.6474	2325.8246	1765.4328	3335.9997	1713.0002	4208.4357	1116.4053	2831.353	2049.5685	433.1442	708.3781	1260.8307
PWY-7003	14.9157	8.9262	65.9272	12.8001	25.1889	51.4661	56.0892	0	131.2652	88.6342	90.2907	11.8337	150.7136	78.4604	87.4119	1944.9698	64.8057	167.7884	127.2219	29.6881	94.534	55.6169	444.7741	203.6443	24.5803	65.8096	24.3041	121.7267	44.2456	111.9542	177.5267	71.0629	121.1454	35.9202	9.2015	16.583	90.7249	13.635	28.3336	84.2091	73.6445	125.4704	334.1617	225.5641	422.3437	148.5185	3.7311	82.5688	10.6582	16.6345	27.3184	45.8563	83.5822	242.7489
PWY-7013	35.88	0	173.1574	143.7991	25.7069	156.5663	37.6255	0	1.7398	37.6552	89.4472	5.9977	1.7398	2.5796	55.5636	2544.2851	247.4134	156.209	0	7.7346	0	17.976	436.7248	205.8467	0.84	29.9361	0	38.4895	46.1264	79.2952	92.058	28.204	37.6493	98.5435	49.4348	12.832	7.7323	43.3561	24.7531	20.5536	61.5004	46.1218	43.6229	38.4985	107.3084	55.5699	6.829	21.3791	1.7393	1.7397	0.8399	48.5741	108.0497	263.1284
PWY-7090	7.2459	1.7347	17.5934	15.248	3.7037	14.9533	382.5949	241.9813	99.097	42.3995	30.0889	60.7368	58.6056	46.2389	111.5434	30.2619	40.6245	24.9687	383.3993	432.2317	232.6644	324.233	115.5732	8.8363	36.0314	43.1239	50.9137	31.8079	18.9151	35.0693	23.4112	149.189	37.7362	16.5775	16.628	20.8601	2.593	5.4865	25.3737	182.6253	69.9461	83.922	26.6789	27.3425	28.585	310.9241	304.6689	344.1062	2.8671	17.1674	15.0798	8.2988	4.6513	0
PWY-7111	6114.6525	5602.9693	9148.8362	10847.0172	11256.9261	11257.657	6846.9023	6939.6243	10241.1332	9019.5034	8283.2253	8770.9763	8984.9764	8652.1917	9420.2095	6244.0908	7077.7107	5749.2066	8370.3398	6246.7219	8619.0722	6982.9341	8353.6915	2584.763	8013.6513	7262.0915	8408.5679	8509.5616	8242.1219	7252.2027	8830.8491	7832.4298	8209.3682	5233.6779	3894.2025	7967.6205	4360.559	3477.3372	4434.9933	7959.9464	8226.1494	7938.2406	7888.3539	8990.6182	8440.2332	10255.9047	2446.8331	6114.4858	3850.4479	6480.2711	6714.7637	4907.6079	7841.1766	8026.7283
PWY-7184	415.3891	399.4981	884.2291	929.7627	521.1023	757.05	1943.5602	1675.0056	1507.7788	2710.918	1635.8633	2599.7412	2631.0509	3583.7065	2493.7364	1542.4282	1266.2496	1802.4438	2906.8923	1344.2592	3223.4202	1712.9248	2045.9717	1127.516	1880.5149	2577.6865	3577.8576	537.0234	1782.1121	926.5967	2914.4339	3101.0253	3165.3329	595.7926	633.5104	401.7753	648.1047	520.6745	946.5232	1638.7702	1667.6854	1900.0418	1618.055	1249.0695	868.0528	2775.4799	707.6836	2023.6583	318.8193	984.8993	805.4234	212.1965	448.7621	287.4976
PWY-7187	1460.5464	644.384	1923.6802	1517.5434	1022.4855	1385.3811	2390.4036	1847.7991	2226.3825	2908.1196	2049.6745	2882.5154	3584.9251	4263.807	3245.2541	2252.4277	2135.5846	2525.6969	3386.5763	1489.6847	3672.1837	2238.8828	2782.2253	1223.431	2683.7249	3175.8066	4064.7503	1636.8725	2592.8481	2016.8889	3908.2052	3509.7864	3704.5367	960.9562	999.1234	759.254	1068.5563	834.1474	1387.6279	2498.6495	2566.851	2781.7785	2545.5882	2118.8448	1532.8997	3542.4314	796.517	2271.7678	572.3619	1610.8622	1394.2007	500.941	740.0171	1872.2159
PWY-7196	546.3108	494.1049	1106.2431	1187.437	623.5664	925.1038	3086.6507	5471.7955	2162.9732	8195.4226	3158.4295	6514.6739	3676.696	4928.9079	3704.5004	2131.072	1825.9741	2557.7899	4755.3113	4466.8384	5429.2086	2635.1168	3021.2551	2029.071	2734.1077	3742.788	5405.2604	641.1419	2623.0465	1231.3156	4052.7368	4925.1428	4473.8236	764.6616	863.3142	565.9638	956.578	779.1332	1433.1169	2362.7772	2406.8182	2706.8999	2292.823	1793.7708	1209.6692	4032.3975	1595.0085	4073.9139	471.9631	1396.2766	1138.2674	244.5745	512.3899	334.6636
PWY-7197	339.614	299.7176	698.4254	726.0479	380.4027	562.1391	1713.7889	3786.5068	1232.2312	6127.5195	1712.0972	4348.9797	2412.6751	3173.3799	2127.831	1438.9257	1190.874	1649.131	2810.0759	2904.4975	3387.0524	1440.3871	1775.3077	1391.9991	1676.315	2291.071	3334.7995	393.7437	1584.2827	784.2182	2589.9167	3049.2941	2683.116	483.4248	550.9978	374.2244	594.2285	466.4908	846.5405	1495.9312	1518.8043	1763.1621	1505.1705	1154.5047	769.7515	2309.1591	993.9774	2593.8606	286.5191	879.2287	723.66	151.6344	322.11	209.4554
PWY-7198	331.2779	318.2042	714.1375	747.6509	413.721	605.2984	1168.3568	956.6885	1246.8486	728.3812	1176.2197	942.8378	949.9235	672.1768	1439.1092	776.8174	359.4136	504.7265	1187.8094	443.7116	749.0251	908.8321	1131.3051	435.8061	1488.1741	945.9976	628.9504	427.4683	1204.6632	751.6867	1262.4129	751.6322	798.9192	480.1475	518.0938	296.5048	261.1519	266.6367	397.9081	652.9115	600.1653	534.4941	929.5496	926.173	696.8764	2006.7251	270.2318	968.0999	222	801.9571	649.2378	167.3886	354.3297	225.6592
PWY-7199	2919.2366	2903.2475	3985.6869	3797.78	3448.1318	3275.4516	3745.3828	5226.295	3378.6368	7485.3429	3240.9594	6382.1153	4612.6703	5505.6021	4713.9857	2677.3109	4045.9601	3872.2235	5531.1252	4689.5978	5463.139	4185.4588	4129.8316	1949.7949	4025.8641	4323.9341	5820.4963	2486.5215	3871.7801	2854.6505	5711.1809	5278.1983	5004.4094	2317.6886	1768.8521	1368.075	2507.9493	2242.2384	2751.4222	4234.2824	3987.0976	4135.879	4149.2245	4079.8679	3906.4425	5385.0372	1941.2645	4338.6989	2080.9946	3056.0615	3103.4866	2255.2484	4660.7332	4808.0258
PWY-7200	540.9935	482.0157	1061.389	1078.9284	601.5457	844.0439	2082.9149	2105.7738	1599.7558	3328.2815	1767.1788	3064.6552	2953.8738	3803.01	2680.4024	1737.9698	1679.6487	2157.3305	3159.7439	1708.3778	3415.0012	1961.876	2266.3971	1231.3376	2170.0383	2805.488	3771.6429	598.0314	2041.54	1101.2368	3316.3391	3285.7099	3262.8561	717.8675	759.5599	516.7536	871.758	700.4219	1182.0066	2028.3371	2009.5924	2285.3	2030.8343	1634.0903	1156.9628	2960.0138	845.1178	2299.7135	452.0981	1240.9841	1061.84	250.5684	533.5516	354.3225
PWY-7208	5575.3905	5348.7435	7885.0088	9447.0063	10154.2299	9780.32	6020.8759	6321.4845	9188.5349	8495.3551	6887.3914	8231.8777	7814.5264	7736.7399	8036.4967	5523.8961	7004.9525	5719.6793	7562.072	5783.1629	7956.5923	6193.9475	7145.2188	2381.6003	6705.2423	6281.8018	7692.5863	7218.4056	7165.0458	6282.4486	8049.3868	7029.3504	7260.1559	4522.766	3336.9209	6921.1042	4292.5725	3556.5059	4495.8565	6993.2586	7305.6723	6993.5078	6869.6181	7635.5651	7105.2427	8254.0486	2252.0791	5511.5774	3732.4884	5646.347	5923.2997	4236.3711	6848.7234	6585.7947
PWY-7210	427.1059	433.9807	948.2357	979.5742	584.2604	831.059	1215.805	1009.8202	1454.7274	893.2588	1185.3569	1098.9803	1127.4355	867.3049	1541.0688	866.2256	440.2284	620.2642	1348.1237	524.9365	934.327	971.5942	1223.7362	505.8387	1649.0934	1112.795	811.4242	599.1064	1330.2649	933.7878	1433.8561	933.3881	987.6568	625.259	628.6795	359.5194	302.4817	300.4745	454.131	756.3602	706.2617	659.3043	1051.3298	1081.1766	850.773	2134.2494	311.0702	1065.3628	259.941	942.7535	779.8974	244.5401	517.1103	326.2496
PWY-7211	529.8474	498.289	1099.8347	1168.7133	645.738	940.7015	2017.302	1926.6633	1950.6291	1613.626	2050.6882	1975.4894	1840.6108	1568.3704	2481.5278	1735.972	826.8499	1115.7942	2262.3112	1015.8834	1606.861	1634.9001	1987.9203	829.127	2294.1838	1806.1273	1379.2448	662.195	2000.1327	1171.0442	2305.7505	1578.0825	1645.1631	743.9862	797.8715	509.1405	517.1033	499.0981	771.8869	1266.4944	1195.1195	1246.1825	1621.6116	1520.5586	1116.5457	3164.0541	557.4509	1834.1515	386.0401	1263.6736	1040.1122	259.3063	545.2178	353.0375
PWY-7219	5559.2175	5437.2024	7740.4526	9689.2289	10457.7016	10071.5326	6215.4492	6559.9006	9464.4868	8833.9923	7167.0014	8439.6681	7799.5645	7684.0854	8168.2806	5385.6202	6798.3105	5688.8336	7786.9985	6012.9998	8247.5924	6387.3534	7201.6333	2414.6137	6785.3228	6332.8283	7783.2174	7398.3888	7319.0189	6331.1672	8073.1416	7180.1763	7315.472	4568.081	3354.4309	6807.6777	4331.2442	3575.4347	4544.1928	7060.6826	7418.7431	6978.8271	6832.5351	7612.9996	7083.2934	8478.9825	2341.2449	5689.9338	3795.8173	5691.391	5968.5339	4351.0203	7045.2688	6723.195
PWY-7220	3754.8357	3890.8875	5445.9236	6411.5149	5432.0149	6143.5671	5977.0939	7441.7967	5452.5394	10541.7421	5176.2271	9806.3754	8738.2352	9454.8004	8707.8553	5150.5884	5005.7757	5313.9526	8850.2818	6607.025	8648.8306	6279.3136	7467.2999	3009.0343	7406.0405	7244.7873	9489.3473	5443.0431	7032.0856	5482.4804	9214.7293	8283.5839	8463.7579	4382.7722	3389.5339	6024.0268	4241.3712	3442.5699	3990.4901	7454.2341	7128.2996	7402.5203	7657.7783	7693.2196	7260.3196	10299.9817	2710.5479	6560.1488	3018.0623	5455.63	5753.8522	3706.8425	8581.9108	9550.3642
PWY-7221	5119.8891	4861.6692	7000.0097	8706.015	9468.2796	9078.0557	6032.3061	6296.5717	8797.19	8472.0943	6837.6695	8131.2334	7218.6513	7144.4769	7699.1052	4830.4245	5988.0714	5127.9962	7306.6643	5689.658	7797.7746	5936.0845	6792.8188	2268.0356	6202.8978	5902.0184	7216.4813	6909.8351	6740.1097	5841.3894	7294.9227	6631.4553	6725.0414	4018.9164	2981.8218	5790.7566	3742.286	3130.7013	4045.2104	6329.8994	6717.259	6381.931	6181.1293	6854.3798	6352.2561	7943.8834	2170.245	5302.6384	3386.7531	5154.6991	5317.8672	3919.8848	6142.6596	6011.6433
PWY-7222	3754.8357	3890.8875	5445.9236	6411.5149	5432.0149	6143.5671	5977.0939	7441.7967	5452.5394	10541.7421	5176.2271	9806.3754	8738.2352	9454.8004	8707.8553	5150.5884	5005.7757	5313.9526	8850.2818	6607.025	8648.8306	6279.3136	7467.2999	3009.0343	7406.0405	7244.7873	9489.3473	5443.0431	7032.0856	5482.4804	9214.7293	8283.5839	8463.7579	4382.7722	3389.5339	6024.0268	4241.3712	3442.5699	3990.4901	7454.2341	7128.2996	7402.5203	7657.7783	7693.2196	7260.3196	10299.9817	2710.5479	6560.1488	3018.0623	5455.63	5753.8522	3706.8425	8581.9108	9550.3642
PWY-7228	498.9261	451.3063	1003.1129	1078.38	570.629	843.6285	2810.58	5062.7931	1924.7863	7806.7072	2799.0765	6117.3763	3343.4681	4448.2133	3359.2303	1955.5409	1625.1193	2279.0295	4337.3913	4147.246	5032.6009	2363.1154	2735.2076	1855.2332	2450.4577	3315.0557	4873.4146	589.0148	2363.376	1120.5315	3637.8139	4477.1754	4052.3915	694.2803	776.7168	540.2428	859.7634	702.7036	1274.2872	2123.6143	2171.6102	2442.8777	2062.1501	1627.1908	1099.5304	3705.287	1486.9142	3740.3855	430.9065	1267.5231	1035.6253	225.9276	475.0652	310.4387
PWY-7229	4998.5365	5001.4723	7091.2504	8681.0426	8545.6322	8755.3781	6187.8829	6892.245	8043.1944	9583.1082	6568.2648	8959.751	8098.058	8270.5666	8390.0756	5344.5257	6245.3787	5595.3006	8155.598	6303.6422	8444.2493	6406.2328	7349.7845	2625.9774	7071.8806	6657.7725	8364.458	6859.4584	7303.3971	6180.1735	8465.531	7607.6442	7724.2864	4604.9007	3425.0911	6555.2933	4354.6839	3564.5419	4418.419	7237.608	7408.1485	7154.6509	7139.0278	7737.8796	7258.9866	9023.4407	2488.1341	6025.5853	3562.902	5697.8366	5994.009	4241.3476	7586.3402	7500.027
PWY-7234	795.8716	184.7873	814.94	203.709	153.3745	252.3431	982.181	181.4024	259.9594	22.877	318.2513	88.4037	1762.184	1923.9755	604.3902	1493.496	328.2753	871.5612	352.2731	478.5935	629.0035	66.3662	684.2206	210.7885	387.6465	651.6484	427.1122	550.4215	268.8851	943.218	1704.9611	799.3762	1346.6342	155.3773	98.2418	149.4046	179.7529	106.3254	280.0626	871.8381	411.6298	1493.9248	1237.6486	971.2088	690.2778	135.7065	18.0183	209.5818	144.3418	611.4417	292.3256	42.2477	122.265	282.9976
PWY-7237	88.83	62.83	109.97	237.31	230.49	181.86	1087.29	1833.17	803.79	452.82	515.5	422.83	479.32	595.8	629.69	784.11	468.2	680.16	945.97	539.29	598.5	1113.67	669.83	300.84	440.81	1059.33	631.6	372.26	809.21	507.99	712.1	622.11	581.62	81.74	156.96	112.54	49.46	71.62	154.71	354.93	316.62	348.54	534.89	253.13	541.17	494.62	276.14	522.34	155.29	466.62	468.84	81.31	135.84	662.21
PWY-7242	2135.4271	2150.4062	2468.6634	2521.8349	2138.5386	2644.2519	4080.0012	6027.3056	2954.2924	7910.1491	4070.0318	6219.7534	4190.3161	5020.5679	4863.9369	3358.2867	3367.395	3948.5832	5547.8916	5523.7428	5725.1927	4008.6157	4095.1925	1859.9023	3494.4188	4104.988	5447.9976	2501.5562	3769.9226	2449.2276	5632.5225	5920.5194	5267.8238	1390.8451	1330.7645	1026.0439	2092.6825	2190.961	2513.9472	3530.5155	3677.4492	3049.0675	3153.534	3063.7178	2772.3318	6718.3037	2341.9103	4758.5184	2273.2875	3263.0706	2923.0272	1396.707	2150.1384	3384.7821
PWY-7254	10.4839	4.4973	29.9072	220.2469	210.4725	320.2594	18.712	0	58.9508	48.5701	49.9826	14.9812	152.8659	210.9472	218.0387	1280.4414	24.5149	85.4772	57.4571	11.9833	49.2879	28.4097	227.0481	131.6949	8.9917	18.7108	4.7979	137.0544	117.6884	114.462	92.1857	32.8963	52.2324	275.1128	292.4591	63.3661	416.3179	196.0006	427.4848	41.7872	33.6029	62.5205	459.6953	337.6379	469.8487	75.9849	1.4993	35.1022	10.4797	7.4926	12.7258	15.3587	42.7228	131.0712
PWY-7286	9.3286	1.3332	25.3081	1.3333	0	3.9995	0	0	0	0	0	0	31.9603	38.6079	9.3301	0	0	0	0	0	0	0	1.3333	0	0	0	0	6.6648	33.2868	37.2667	0	0	0	6.6637	5.3308	6.6647	1.3332	6.6629	2.6662	11.9937	30.6278	27.9657	14.6572	6.6649	13.3258	0	0	0	0	1.3332	0	1.3332	0	0
PWY-7315	609.9539	936.1463	1718.2266	1863.2321	1730.5346	2273.3831	1274.0735	919.4518	2346.6256	521.8074	1294.6791	735.9455	1159.6998	586.7845	1572.9946	1598.9168	468.413	445.5932	1012.9471	358.4875	597.7253	885.3793	1309.4475	392.6463	1845.0989	903.571	638.3661	2002.6644	1468.2932	1437.0735	1225.85	686.7944	973.8575	1009.1382	815.4793	387.8396	377.3034	360.3739	397.1912	656.6473	638.9403	561.1313	907.8734	1055.6623	1019.7361	2136.6189	202.4388	830.4131	276.0218	1083.6996	877.6774	843.1865	1509.9576	857.3796
PWY-7323	1519.6617	1813.4796	1353.4867	945.3595	474.8253	661.664	3438.2997	5492.0537	2096.4479	7412.4245	2446.7395	5688.3899	3060.9226	3903.7276	3017.4016	1967.3108	2345.8923	2966.7246	4886.7614	4711.1915	5055.2788	3185.8671	2505.4146	1712.4222	2292.7754	2999.0964	4587.4055	783.868	2157.6848	1098.8857	3550.8111	4490.1128	3740.3712	570.4772	672.0617	1154.7072	1451.5513	1916.3245	1959.6137	2190.2971	2082.2955	2326.3479	1623.9536	1341.5472	1119.6469	3866.6933	2009.1887	4054.2454	2130.4525	1923.0668	1707.6673	304.6025	448.7233	1144.6377
PWY-7328	188.2025	103.2033	244.3988	194.055	24.7258	47.6037	1129.4191	421.92	527.7153	1475.7763	986.2276	1433.4693	622.8592	501.9812	500.6849	1074.5202	203.6384	683.8392	897.0482	398.304	939.0887	821.8431	490.7051	306.3392	900.4846	2025.9794	1296.0494	97.9293	783.3159	87.5527	304.1118	700.2731	235.872	78.8611	171.1749	100.9399	169.9878	77.7586	159.7196	501.6414	309.5432	490.9311	597.1071	230.8515	115.1179	601.4994	438.397	950.6276	67.0253	304.5851	299.6583	68.4452	71.5808	110.4186
PWY-7332	108.7683	20.8584	228.1309	155.0747	44.4078	200.3842	1793.2026	683.2618	1283.1758	365.0303	449.2943	562.0726	928.6258	875.9095	1164.9453	832.4176	1329.858	1579.9787	2159.8066	745.6942	1537.698	2160.5052	1185.1776	163.1078	493.7557	512.9834	1250.9263	657.0488	1081.8369	705.8005	1502.6198	1440.0494	1217.4434	175.0235	192.8614	213.5889	62.9987	61.0514	330.7697	1531.8832	1156.2469	901.4495	346.988	277.7076	503.6218	1890.88	539.8502	1259.7532	27.6277	170.7634	301.2604	107.8038	55.4635	189.6767
PWY-7371	24.9153	5.52	42.9796	33.1047	21.8571	44.7429	45.0196	53	36	0	0	1.4211	284.611	247.7165	82.4318	79.5907	85.3953	165.1402	112.1412	168	217.6413	20	61.0101	0	92.6527	185.4429	117.066	10.9333	46.6857	41.8046	343.6364	140.5674	160.3448	12.2222	19.3171	21.28	9.2951	32.5304	48.1348	130.5689	48.7082	242.2864	109.1624	128.2794	107.5575	35.2174	5.2941	65.0097	24.6316	29.25	43.3333	7.9655	20.0127	1.2857
PWY-7374	15.6051	3.2394	18.5322	11.7937	2.3394	6.8146	39.2947	53	36	0	0	1.2162	266.3662	240.3122	76.4769	59.3793	67.2527	128.2061	106.4872	164.2804	202.3218	0	56.0713	0	63.3789	121.4256	85.5967	0	0	0	256.636	116.6931	122.8873	7.7465	14.8315	18.2275	7.621	27.3029	45.0023	101.436	40.2929	173.759	96.3907	115.2434	103.9629	30.2691	4.6875	61.079	20.2597	17.582	31.2227	2.1038	14.2896	0
PWY-7377	93.3501	181.139	270.688	579.8145	513.7596	699.879	105.4164	0	152.6492	232.5234	268.6235	1512.9898	460.0497	648.4468	727.6486	1555.5243	76.6636	95.9061	191.8926	115.6698	123.0401	209.9292	991.3529	263.6112	244.2247	156.8613	164.8021	456.0795	478.4243	673.3633	932.6351	174.5257	236.2619	543.2791	535.8435	207.2719	647.523	572.9105	783.5725	264.276	347.011	757.9959	1009.1925	772.8291	956.7014	182.8938	41.1543	90.5287	30.671	63.3133	195.6025	129.1898	156.6072	250.7336
PWY-7391	1.004	0	0.5267	0.452	0	4.0412	0	0	0	0	0	0	6.1725	2.5667	1.4765	0	0	0	0	0	0	0	2.4489	0	0	0	0	5.1847	43.2029	7.7976	0	0	0	2.5518	0.6235	3.3303	1.4082	0.5129	5.8975	1.9375	0	2.2984	3.8238	6.3551	4.8606	0	0	0	0	1.7741	0	1.6248	0	0
PWY-7392	107.36	40.6881	188.4572	191.2723	46.2396	108.6899	123.3185	26.1253	113.2417	31.2175	84.2328	1891.7597	232.7267	370.9219	483.0587	2021.5581	159.5719	351.3724	77.1037	13.7109	11.3854	178.0179	896.9833	340.4382	252.6705	82.2621	154.3021	107.4268	438.4299	337.5144	508.483	77.8659	74.1038	53.0268	54.3812	72.3703	84.2631	435.5025	233.2389	93.1728	162.2305	667.1056	235.2378	141.0205	120.5231	76.5682	4.7313	50.5191	28.2486	58.9487	173.887	135.9435	174.4923	339.2213
PWY-7400	4197.2034	3810.6859	6216.0444	7311.4791	8259.7598	7788.5196	4096.4683	3327.8031	7355.6692	2834.3552	5310.6784	4901.5158	5165.4472	4425.8296	5510.7255	4406.6988	5601.8204	4191.0222	4326.0758	2899.3783	4999.5418	3831.7328	4935.2337	1095.9816	4379.2948	3602.8818	3968.1528	5639.1538	5070.7293	4641.0242	5693.5277	4231.2809	4766.501	3018.7863	2277.9125	5551.8378	2486.5352	2054.5673	2802.435	4431.4832	4964.7717	4598.4479	4588.7343	5280.4413	4785.0757	5990.6811	1128.9882	3071.1399	2301.9203	3922.124	4029.411	3422.766	5668.1139	5221.5214
PWY-7431	10.422	7.7649	5.1045	40.1175	6.6634	14.8783	2.6655	1.5595	5.9966	1.7726	7.3256	1.1065	6.9479	32.137	38.5339	7.3053	23.8723	43.8842	9.548	1.3326	1.9991	11.5411	24.1677	0.6489	10.2184	1.773	5.3302	6.4366	3.3323	5.9971	0.8933	0	3.1057	0.2267	2.2259	2.6644	6.8863	25.5943	30.6796	5.997	5.7705	1.1066	1.7559	11.3237	4.2254	0.44	0	0.2978	3.9929	8.4314	17.9658	5.5561	9.9946	0.8
PWY-7446	0	0	1.487	1.3922	0.29	0.5238	4.2821	0	0.5435	0.3831	1.28	0	0.3831	0.5647	10.3005	502.4586	7.5676	14.43	0	1.6698	0	0	75.8468	35.71	0.2605	6.0714	0	3.0065	0.9241	2.8215	0.5211	0.9262	1.5633	0.7077	0.29	1.14	0.4735	0.3822	0.2559	0.5586	0.506	0.8899	0.3797	0.5414	0	0.3781	0.1793	2.2283	0.29	0.29	0.1827	5.14	14.787	43.71
PWY-7456	1216.3535	1388.4454	913.819	671.6321	359.7849	509.9404	2569.9806	3826.6394	1666.2574	3398.0024	1650.1513	3017.8796	1812.4759	2095.3742	1876.5699	1165.6232	1507.4866	1975.3664	3412.3952	2769.8288	2468.4926	2420.43	1704.7852	894.2797	1333.0852	2030.8305	2747.3144	648.6646	1637.0301	867.2473	2253.7843	2867.6487	2283.2306	385.781	315.0242	623.9718	813.7959	954.0568	1306.9787	1563.3471	1478.9783	1629.0754	1025.7712	796.5422	773.6455	2272.62	1362.4054	2542.3946	1165.0532	1125.7681	1042.6107	233.1465	213.1979	476.9298
PWY-7539	2572.1705	2596.9768	3581.247	3194.1547	2661.8527	3531.8191	4512.8222	6011.044	4023.8013	7746.9354	3772.6159	6388.6698	3798.7574	4430.3429	4430.8957	2336.1603	2960.7014	3110.5596	5389.9301	5109.6971	5404.2171	3670.5936	3669.2684	1872.3321	3632.8944	3801.048	5042.0488	2986.7803	3589.7905	3054.931	5009.6751	5272.1614	4750.7698	1412.6071	1332.1903	900.8846	2133.4655	2286.5784	2537.4265	2993.6797	2983.9377	2836.3739	2982.0214	2817.7618	2651.4495	5502.5119	2037.387	4458.8704	2250.7185	2956.4714	2557.5593	1183.8866	1793.4201	1997.8956
PWY-7560	4976.3663	4902.1063	6782.5555	8390.6915	9153.7007	8701.1043	5762.1294	6273.4171	8592.5893	8279.1969	6374.7571	7922.3028	7027.5091	6896.8779	7421.2565	4856.0911	6144.8591	5222.3819	7257.3907	5610.2942	7716.7304	5856.0161	6523.0535	2218.4243	6100.1225	5763.8485	7237.0702	6523.1286	6479.1484	5615.6659	7354.8807	6673.0175	6665.8918	3932.1711	2892.4756	5767.6233	3874.6447	3332.5674	4120.2561	6220.8405	6594.9399	6206.4227	6082.3488	6748.3419	6287.7618	7841.2254	2232.7863	5296.3437	3645.8314	5285.5353	5505.6037	3873.8909	6281.7493	6233.0385
PWY-7663	5460.7237	5615.4055	7379.7497	9298.9752	10070.6155	9727.3446	7149.5877	9138.9626	10470.2585	13425.6987	7812.1102	11651.6216	8965.7041	9196.5694	9576.2285	6118.6558	7549.5431	6784.7163	10256.4858	8306.0613	11349.7039	7423.4764	8240.6631	3400.568	7832.0476	7373.2798	10336.662	7333.837	7956.41	6291.0884	9254.5269	9341.1071	8888.0722	4695.5551	3543.0078	6730.5497	4634.0262	3994.8724	5067.3282	7652.1485	8122.6898	7608.8968	7185.6819	8018.0623	7378.8349	10228.1568	3132.9857	7686.9596	4377.3969	6365.4122	6741.4408	4359.0015	7029.1455	6883.1582
PWY-7664	2942.9854	3803.5253	1294.1563	930.7493	404.9798	291.3421	3952.5605	6938.3582	3178.6695	11910.1956	3507.9301	9541.9026	3802.0061	5645.8364	5310.5033	3229.9074	2604.9102	3455.3918	7245.9006	6595.3318	8484.4734	3577.3632	4296.4394	2817.7765	3686.3018	3376.7425	7645.5428	466.6686	2608.7949	1091.1481	5013.1406	6984.2729	5758.7243	329.1322	546.9962	688.9219	3264.8052	3632.7643	3816.4663	2666.5774	3014.2955	2292.1234	1970.5213	1452.9804	1085.563	6251.9626	2350.7776	5906.5977	4115.4902	3875.2453	3305.2137	386.8114	604.4723	2493.2161
PWY-841	845.4669	770.2968	1642.5309	1787.4842	994.354	1430.9869	3697.8339	5694.0244	2969.4628	8303.7939	3773.3543	6913.0706	4434.1634	5421.8619	4492.8612	2702.7162	2458.0754	3111.4261	5389.8536	4826.3519	6057.7775	3270.813	3728.1367	2070.7488	3398.3051	4185.2482	5833.5913	1003.2246	3345.4965	1763.7875	4781.7286	5376.227	5018.4858	1113.6925	1172.6448	925.4548	1341.2503	1104.0435	1875.6398	3055.8003	3139.3714	3392.2608	2965.9525	2489.1799	1763.2762	4932.1662	1798.6929	4425.0928	721.1822	1943.4073	1645.3797	395.5462	823.5752	548.0166
